# planck auto-dispatch per-bucket timing sweep
# host=(unset)
# omp_num_threads=(unset)
# compiler=15.2.0
# columns: molecule,basis,engine,L_AB,L_CD,count,total_ms,ms_per_quartet
molecule,basis,engine,L_AB,L_CD,count,total_ms,ms_per_quartet
helium,cc-pV5Z,os,5,6,2000,110.499,0.0552495
helium,cc-pV5Z,hgp,5,6,2000,28.241,0.0141205
helium,cc-pV5Z,rys,5,6,2000,115.233,0.0576165
helium,cc-pV5Z,os,5,7,2000,161.231,0.0806155
helium,cc-pV5Z,hgp,5,7,2000,38.752,0.019376
helium,cc-pV5Z,rys,5,7,2000,150.007,0.0750035
helium,cc-pV5Z,os,5,8,2000,231.001,0.115501
helium,cc-pV5Z,hgp,5,8,2000,52.842,0.026421
helium,cc-pV5Z,rys,5,8,2000,163.196,0.081598
helium,cc-pV5Z,os,6,0,2000,49.368,0.024684
helium,cc-pV5Z,hgp,6,0,2000,26.833,0.0134165
helium,cc-pV5Z,rys,6,0,2000,354.612,0.177306
helium,cc-pV5Z,os,6,1,2000,29.549,0.0147745
helium,cc-pV5Z,hgp,6,1,2000,12.669,0.0063345
helium,cc-pV5Z,rys,6,1,2000,115.76,0.05788
helium,cc-pV5Z,os,6,2,2000,41.579,0.0207895
helium,cc-pV5Z,hgp,6,2,2000,14.369,0.0071845
helium,cc-pV5Z,rys,6,2,2000,128.459,0.0642295
helium,cc-pV5Z,os,6,3,2000,50.153,0.0250765
helium,cc-pV5Z,hgp,6,3,2000,15.501,0.0077505
helium,cc-pV5Z,rys,6,3,2000,95.244,0.047622
helium,cc-pV5Z,os,6,4,2000,91.884,0.045942
helium,cc-pV5Z,hgp,6,4,2000,24.064,0.012032
helium,cc-pV5Z,rys,6,4,2000,137.769,0.0688845
helium,cc-pV5Z,os,6,5,2000,101.485,0.0507425
helium,cc-pV5Z,hgp,6,5,2000,26.097,0.0130485
helium,cc-pV5Z,rys,6,5,2000,113.182,0.056591
helium,cc-pV5Z,os,6,6,2000,175.434,0.087717
helium,cc-pV5Z,hgp,6,6,2000,41.634,0.020817
helium,cc-pV5Z,rys,6,6,2000,153.512,0.076756
helium,cc-pV5Z,os,6,7,2000,246.879,0.123439
helium,cc-pV5Z,hgp,6,7,2000,55.931,0.0279655
helium,cc-pV5Z,rys,6,7,2000,168.028,0.084014
helium,cc-pV5Z,os,6,8,2000,369.036,0.184518
helium,cc-pV5Z,hgp,6,8,2000,81.176,0.040588
helium,cc-pV5Z,rys,6,8,2000,228.316,0.114158
helium,cc-pV5Z,os,7,0,2000,82.535,0.0412675
helium,cc-pV5Z,hgp,7,0,2000,36.286,0.018143
helium,cc-pV5Z,rys,7,0,2000,423.154,0.211577
helium,cc-pV5Z,os,7,1,2000,42.317,0.0211585
helium,cc-pV5Z,hgp,7,1,2000,15.488,0.007744
helium,cc-pV5Z,rys,7,1,2000,165.428,0.082714
helium,cc-pV5Z,os,7,2,2000,57.378,0.028689
helium,cc-pV5Z,hgp,7,2,2000,17.589,0.0087945
helium,cc-pV5Z,rys,7,2,2000,124.982,0.062491
helium,cc-pV5Z,os,7,3,2000,82.486,0.041243
helium,cc-pV5Z,hgp,7,3,2000,22.147,0.0110735
helium,cc-pV5Z,rys,7,3,2000,142.531,0.0712655
helium,cc-pV5Z,os,7,4,2000,95.318,0.047659
helium,cc-pV5Z,hgp,7,4,2000,25.125,0.0125625
helium,cc-pV5Z,rys,7,4,2000,112.434,0.056217
helium,cc-pV5Z,os,7,5,2000,148.634,0.074317
helium,cc-pV5Z,hgp,7,5,2000,35.891,0.0179455
helium,cc-pV5Z,rys,7,5,2000,148.006,0.074003
helium,cc-pV5Z,os,7,6,2000,260.938,0.130469
helium,cc-pV5Z,hgp,7,6,2000,59.29,0.029645
helium,cc-pV5Z,rys,7,6,2000,172.388,0.086194
helium,cc-pV5Z,os,7,7,2000,270.014,0.135007
helium,cc-pV5Z,hgp,7,7,2000,60.856,0.030428
helium,cc-pV5Z,rys,7,7,2000,214.074,0.107037
helium,cc-pV5Z,os,7,8,2000,542.026,0.271013
helium,cc-pV5Z,hgp,7,8,2000,120.177,0.0600885
helium,cc-pV5Z,rys,7,8,2000,263.394,0.131697
helium,cc-pV5Z,os,8,0,1800,79.659,0.044255
helium,cc-pV5Z,hgp,8,0,1800,29.989,0.0166606
helium,cc-pV5Z,rys,8,0,1800,423.645,0.235358
helium,cc-pV5Z,os,8,1,2000,58.552,0.029276
helium,cc-pV5Z,hgp,8,1,2000,18.554,0.009277
helium,cc-pV5Z,rys,8,1,2000,169.787,0.0848935
helium,cc-pV5Z,os,8,2,2000,85.98,0.04299
helium,cc-pV5Z,hgp,8,2,2000,23.21,0.011605
helium,cc-pV5Z,rys,8,2,2000,187.707,0.0938535
helium,cc-pV5Z,os,8,3,2000,117.655,0.0588275
helium,cc-pV5Z,hgp,8,3,2000,29.177,0.0145885
helium,cc-pV5Z,rys,8,3,2000,157.481,0.0787405
helium,cc-pV5Z,os,8,4,2000,163.035,0.0815175
helium,cc-pV5Z,hgp,8,4,2000,38.08,0.01904
helium,cc-pV5Z,rys,8,4,2000,167.869,0.0839345
helium,cc-pV5Z,os,8,5,2000,214.696,0.107348
helium,cc-pV5Z,hgp,8,5,2000,48.671,0.0243355
helium,cc-pV5Z,rys,8,5,2000,161.834,0.080917
helium,cc-pV5Z,os,8,6,2000,356.549,0.178275
helium,cc-pV5Z,hgp,8,6,2000,78.51,0.039255
helium,cc-pV5Z,rys,8,6,2000,228.264,0.114132
helium,cc-pV5Z,os,8,7,2000,508.375,0.254188
helium,cc-pV5Z,hgp,8,7,2000,115.632,0.057816
helium,cc-pV5Z,rys,8,7,2000,258.097,0.129048
helium,cc-pV5Z,os,8,8,2000,707.99,0.353995
helium,cc-pV5Z,hgp,8,8,2000,163.051,0.0815255
helium,cc-pV5Z,rys,8,8,2000,341.358,0.170679
